angle,ratio,O,Nhat,omega,it_basic,lmin_basic,lmax_basic,it_flat,lmin_flat,lmax_flat,it_exact,lmin_exact,lmax_exact
45.0,50,2,4,1.2145,169,0.0005562914436225804,4.0302315274161415,150,0.0003993966844859226,1.897889635507384,121,0.0009382478574575333,4.000000000000002
45.0,50,3,4,1.2152,157,0.0006983058327843736,4.088659924014296,142,0.0004547049627612901,1.926995690764598,99,0.0014202757061559724,4.000000000000003
45.0,50,4,4,1.2154,149,0.0008227265683435861,4.164656993270819,137,0.0004893060875440018,1.9122852707580866,85,0.001986815693216488,4.000000000000013
45.0,50,5,4,1.2159,143,0.0009389981271955119,4.249621709463926,132,0.0005122646725783661,1.8592850267059033,74,0.0026590867182996218,4.000000000000033
45.0,100,0,1,1.2112,291,8.550640342661438e-05,1.9508266404103825,291,8.550640342661438e-05,1.9508266404103825,245,8.969161579913792e-05,1.998374965098321
45.0,100,1,4,1.2126,218,0.0002479706316563146,4.000058865354929,200,0.00019366178673870416,1.9961983068776574,196,0.00029037956044953976,4.00000000000001
45.0,100,2,4,1.2138,183,0.00039611069310199347,4.013395841749418,177,0.00026945944060291705,2.132359352789895,151,0.0005231611413536474,4.000000000000002
45.0,100,3,4,1.2148,166,0.0005318969923146108,4.04181558999052,168,0.0003212120553010316,2.2217726923654775,124,0.0007958637864605257,4.0000000000000195
45.0,100,4,4,1.2156,153,0.0006593795806799496,4.084031607795996,160,0.000357619784686739,2.220953716777105,105,0.0011196749720901165,4.00000000000002
45.0,100,5,4,1.2162,143,0.000782273205810841,4.1403162161327565,155,0.0003840307173795015,2.2409267503353516,92,0.0015090948498406762,4.000000000000004
