# window sweep: n=24 nd=13824 steps=350 regime=2 gcut=1e-12
step,t,s1_cold,s1_m4,s1_m8,s1_m12,s1_m16,s1_m24,s1_m32,s1_m48,s1_m64,s2_cold,s2_m4,s2_m8,s2_m12,s2_m16,s2_m24,s2_m32,s2_m48,s2_m64,s3_cold,s3_m4,s3_m8,s3_m12,s3_m16,s3_m24,s3_m32,s3_m48,s3_m64
203,203,16,0,0,0,0,0,0,0,0,161,4,4,1,0,0,0,0,0,143,3,2,0,0,0,0,0,0
204,204,16,0,0,0,0,0,0,0,0,160,3,0,0,0,0,0,0,0,143,3,0,0,0,0,0,0,0
205,205,16,0,0,0,0,0,0,0,0,163,9,0,0,0,0,0,0,0,144,7,0,0,0,0,0,0,0
206,206,16,2,0,0,0,0,0,0,0,165,20,6,1,0,0,0,0,0,146,18,9,4,4,0,0,0,0
207,207,15,0,0,0,0,0,0,0,0,168,14,5,4,5,0,0,0,0,146,10,4,2,1,0,0,0,0
208,208,16,2,1,0,0,0,0,0,0,160,4,2,0,0,0,0,0,0,142,5,1,0,0,0,0,0,0
209,209,16,2,1,0,0,0,0,0,0,154,6,3,0,0,0,0,0,0,139,7,4,1,0,0,0,0,0
210,210,16,1,0,0,0,0,0,0,0,162,15,4,1,0,0,0,0,0,146,16,8,7,1,0,0,0,0
211,211,15,0,0,0,0,0,0,0,0,169,28,6,6,1,5,5,0,0,146,15,1,1,1,0,0,0,0
212,212,16,2,0,0,0,0,0,0,0,164,11,1,0,0,0,0,0,0,145,9,1,0,0,0,0,0,0
213,213,16,1,0,0,0,0,0,0,0,160,7,1,0,0,0,0,0,0,144,3,2,1,1,0,0,0,0
214,214,16,2,1,0,0,0,0,0,0,155,11,1,0,0,0,0,0,0,145,9,5,5,5,4,2,2,2
215,215,16,2,0,0,0,0,0,0,0,164,16,6,5,5,1,0,0,0,146,10,1,0,0,0,0,0,0
216,216,16,1,0,0,0,0,0,0,0,165,20,8,0,0,0,0,0,0,144,4,2,0,0,0,0,0,0
217,217,16,0,0,0,0,0,0,0,0,162,7,1,0,0,0,0,0,0,144,5,3,0,0,0,0,0,0
218,218,15,0,0,0,0,0,0,0,0,161,6,1,0,0,0,0,0,0,146,10,5,3,2,2,2,0,2
219,219,15,1,1,0,0,0,0,0,0,161,4,1,1,1,0,0,0,0,146,7,2,0,0,0,0,0,0
