# asm_stride_test  n=24 nd=13824 steps=6000 dt=0.01 ms (T=60 ms) stride=50 (Sys2/Sys3 every 0.5 ms) win=16/64 regime=0 pc=sASM+IC(0) nsub=4 ovl=1 setup=0.001 s
step,t_ms,s1_v0,s1_v1,s1_v2,s1_v3,s2_v0,s2_v1,s2_v2,s2_v3,s3_v0,s3_v1,s3_v2,s3_v3
378,3.7800,7,5,4,4,-,-,-,-,-,-,-,-
379,3.7900,7,5,4,4,-,-,-,-,-,-,-,-
380,3.8000,7,5,4,4,-,-,-,-,-,-,-,-
381,3.8100,7,5,4,4,-,-,-,-,-,-,-,-
382,3.8200,7,5,4,4,-,-,-,-,-,-,-,-
383,3.8300,7,5,4,4,-,-,-,-,-,-,-,-
384,3.8400,7,5,4,4,-,-,-,-,-,-,-,-
385,3.8500,7,5,4,4,-,-,-,-,-,-,-,-
386,3.8600,7,5,4,4,-,-,-,-,-,-,-,-
387,3.8700,7,5,4,4,-,-,-,-,-,-,-,-
388,3.8800,7,5,4,4,-,-,-,-,-,-,-,-
389,3.8900,7,5,4,4,-,-,-,-,-,-,-,-
390,3.9000,7,5,4,4,-,-,-,-,-,-,-,-
391,3.9100,7,5,4,4,-,-,-,-,-,-,-,-
392,3.9200,7,5,4,4,-,-,-,-,-,-,-,-
393,3.9300,7,5,4,4,-,-,-,-,-,-,-,-
394,3.9400,7,5,4,4,-,-,-,-,-,-,-,-
395,3.9500,7,5,4,4,-,-,-,-,-,-,-,-
396,3.9600,7,5,4,4,-,-,-,-,-,-,-,-
397,3.9700,7,5,4,4,-,-,-,-,-,-,-,-
398,3.9800,7,5,4,4,-,-,-,-,-,-,-,-
399,3.9900,7,5,4,4,-,-,-,-,-,-,-,-
400,4.0000,7,5,4,4,62,59,60,60,60,55,53,53
401,4.0100,7,5,4,4,-,-,-,-,-,-,-,-
402,4.0200,7,5,4,4,-,-,-,-,-,-,-,-
403,4.0300,7,5,4,4,-,-,-,-,-,-,-,-
404,4.0400,7,5,4,4,-,-,-,-,-,-,-,-
